Highlands number;EPL;max degree
1;1.0;2.0
2;1.0;3.0
3;1.0;4.0
4;2.0;3.0
5;2.2;3.0
6;2.29411764706;4.0
7;2.38095238095;4.0
8;2.58653846154;4.0
9;2.71296296296;4.0
10;2.9;3.0
11;2.87272727273;5.0
12;2.9537037037;5.0
13;3.07692307692;4.0
14;3.05357142857;4.0
15;3.19047619048;4.0
16;3.23214285714;4.0
17;3.42156862745;3.0
18;3.42592592593;4.0
19;3.4298245614;4.0
20;3.7;3.0
21;3.66666666667;5.0
22;3.61818181818;4.0
23;3.6;5.0
24;3.59166666667;5.0
25;3.96;3.0
26;3.89423076923;4.0
27;3.84259259259;5.0
28;3.85714285714;5.0
29;3.8275862069;4.0
30;3.78333333333;4.0
31;3.82258064516;4.0
32;3.859375;4.0
33;3.90909090909;4.0
34;4.24509803922;3.0
35;4.25714285714;4.0
36;4.23148148148;4.0
37;4.26126126126;4.0
38;4.23684210526;4.0
39;4.2735042735;4.0
40;4.20833333333;5.0
41;4.20325203252;5.0
42;4.21428571429;5.0
43;4.2015503876;5.0
44;4.19696969697;5.0
45;4.15555555556;5.0
46;4.15217391304;5.0
47;4.13475177305;5.0
48;4.15972222222;5.0
49;4.13605442177;5.0
50;4.85;3.0
51;4.71568627451;4.0
52;4.74038461538;4.0
53;4.72641509434;5.0
54;4.7037037037;5.0
55;4.73636363636;4.0
56;4.6875;5.0
57;4.62280701754;5.0
58;4.66379310345;4.0
59;4.66101694915;5.0
60;4.6;4.0
61;4.66393442623;4.0
62;4.58870967742;4.0
63;4.6746031746;4.0
64;4.6875;4.0
65;4.71538461538;4.0
66;4.64393939394;4.0
67;4.66417910448;4.0
68;4.60294117647;4.0
69;4.60869565217;4.0
70;4.6;4.0
71;4.66901408451;4.0
72;4.59027777778;4.0
73;4.65753424658;4.0
74;4.67567567568;4.0
75;4.68666666667;4.0
76;4.67105263158;4.0
77;4.68181818182;4.0
78;4.6858974359;4.0
79;4.69620253165;4.0
80;4.65;5.0
81;4.62345679012;5.0
82;4.62195121951;5.0
83;4.65060240964;5.0
84;4.63095238095;5.0
85;4.62352941176;5.0
86;4.62209302326;5.0
87;4.63218390805;5.0
88;4.57386363636;5.0
89;4.60674157303;5.0
90;4.58888888889;5.0
91;4.58791208791;5.0
92;4.5652173913;5.0
93;4.53225806452;5.0
94;4.53723404255;5.0
95;4.48947368421;5.0
96;4.484375;5.0
97;4.48969072165;5.0
98;4.44897959184;5.0
99;4.4696969697;5.0
100;5.42;3.0
